tranche_horaire,quartier,temp_moy,hum_moy,pres_moy,nb_mesures
2026-03-25 02:50:00,Akwa,27.33,79.05,1012.29,3542
2026-03-25 02:50:00,Bepanda,28.92,83.17,1012.28,3501
2026-03-25 02:50:00,Bonanjo,26.64,75.99,1012.25,3498
2026-03-25 02:50:00,Bonapriso,26.33,74.02,1012.25,3613
2026-03-25 02:50:00,Cite SIC,28.61,82.05,1012.23,3567
2026-03-25 02:50:00,Deido,28.04,81.07,1012.28,3518
2026-03-25 02:50:00,Kotto,29.03,84.98,1012.26,3514
2026-03-25 02:50:00,Logbaba,29.3,84.11,1012.27,3572
2026-03-25 02:50:00,Makepe,28.32,80.05,1012.24,3542
2026-03-25 02:50:00,New Bell,29.83,86.1,1012.29,3578
2026-03-25 03:10:00,Douala,29.54,77.34,1011.51,7500
2026-03-25 09:30:00,Akwa,28.33,77.86,1010.3,4
2026-03-25 09:30:00,Bepanda,30.58,82.22,1011.71,4
2026-03-25 09:30:00,Bonanjo,27.61,76.44,1011.62,4
2026-03-25 09:30:00,Bonapriso,28.25,73.7,1012.71,4
2026-03-25 09:30:00,Cite SIC,29.25,80.76,1012.13,3
2026-03-25 09:30:00,Deido,29.06,77.9,1012.25,4
2026-03-25 09:30:00,Kotto,29.76,85.1,1011.38,3
2026-03-25 09:30:00,Logbaba,30.36,81.75,1010.58,4
2026-03-25 09:30:00,Makepe,29.36,77.42,1011.74,4
2026-03-25 09:30:00,New Bell,31.7,87.25,1009.61,4
2026-03-25 09:40:00,Akwa,28.67,77.92,1011.68,89
2026-03-25 09:40:00,Bepanda,29.95,81.83,1011.24,87
2026-03-25 09:40:00,Bonanjo,28.0,74.35,1011.41,90
2026-03-25 09:40:00,Bonapriso,27.58,73.32,1011.12,87
2026-03-25 09:40:00,Cite SIC,29.81,81.22,1011.5,88
2026-03-25 09:40:00,Deido,29.11,80.26,1011.42,86
2026-03-25 09:40:00,Kotto,30.21,83.81,1011.29,90
2026-03-25 09:40:00,Logbaba,30.45,82.99,1011.73,87
2026-03-25 09:40:00,Makepe,29.71,79.26,1011.4,87
2026-03-25 09:40:00,New Bell,31.0,85.01,1011.63,87
2026-03-25 09:50:00,Akwa,28.53,78.28,1011.91,102
2026-03-25 09:50:00,Bepanda,30.15,82.36,1011.26,103
2026-03-25 09:50:00,Bonanjo,27.92,75.15,1011.39,102
2026-03-25 09:50:00,Bonapriso,27.59,72.66,1011.44,102
2026-03-25 09:50:00,Cite SIC,29.87,81.53,1011.62,103
2026-03-25 09:50:00,Deido,29.21,80.43,1011.61,103
2026-03-25 09:50:00,Kotto,30.26,83.82,1011.51,103
2026-03-25 09:50:00,Logbaba,30.43,83.32,1011.43,102
2026-03-25 09:50:00,Makepe,29.46,79.47,1011.88,103
2026-03-25 09:50:00,New Bell,31.06,84.99,1011.83,103
2026-03-25 10:00:00,Akwa,28.57,78.09,1011.44,102
2026-03-25 10:00:00,Bepanda,30.16,81.85,1011.57,102
2026-03-25 10:00:00,Bonanjo,27.87,75.08,1011.28,102
2026-03-25 10:00:00,Bonapriso,27.49,72.95,1011.45,101
2026-03-25 10:00:00,Cite SIC,29.82,81.17,1011.5,100
2026-03-25 10:00:00,Deido,29.17,80.04,1011.97,102
2026-03-25 10:00:00,Kotto,30.22,83.83,1011.33,101
2026-03-25 10:00:00,Logbaba,30.47,82.9,1011.58,101
2026-03-25 10:00:00,Makepe,29.46,79.02,1011.58,101
2026-03-25 10:00:00,New Bell,30.91,84.59,1011.41,101
2026-03-25 10:10:00,Akwa,28.38,78.25,1011.36,104
2026-03-25 10:10:00,Bepanda,30.08,82.34,1011.07,104
2026-03-25 10:10:00,Bonanjo,27.84,74.78,1011.73,103
2026-03-25 10:10:00,Bonapriso,27.47,73.2,1011.57,103
2026-03-25 10:10:00,Cite SIC,29.81,80.39,1011.41,104
2026-03-25 10:10:00,Deido,29.29,80.3,1011.52,105
2026-03-25 10:10:00,Kotto,30.24,83.91,1011.42,104
2026-03-25 10:10:00,Logbaba,30.49,83.05,1011.56,104
2026-03-25 10:10:00,Makepe,29.58,78.92,1011.63,104
2026-03-25 10:10:00,New Bell,31.03,85.17,1011.61,103
2026-03-25 10:20:00,Akwa,28.56,77.45,1011.29,80
2026-03-25 10:20:00,Bepanda,30.12,82.14,1011.72,80
2026-03-25 10:20:00,Bonanjo,27.86,74.87,1011.79,80
2026-03-25 10:20:00,Bonapriso,27.48,73.2,1010.99,80
2026-03-25 10:20:00,Cite SIC,29.82,81.21,1011.56,81
2026-03-25 10:20:00,Deido,29.27,79.85,1011.62,80
2026-03-25 10:20:00,Kotto,30.12,84.62,1011.3,81
2026-03-25 10:20:00,Logbaba,30.59,82.45,1011.47,81
2026-03-25 10:20:00,Makepe,29.36,79.21,1011.49,80
2026-03-25 10:20:00,New Bell,31.03,85.07,1011.51,81
2026-03-25 10:30:00,Akwa,28.17,78.32,1012.41,3
2026-03-25 10:30:00,Bepanda,29.75,83.79,1012.7,3
2026-03-25 10:30:00,Bonanjo,27.28,75.3,1009.72,3
2026-03-25 10:30:00,Bonapriso,27.68,71.63,1012.73,3
2026-03-25 10:30:00,Cite SIC,29.48,79.78,1011.21,3
2026-03-25 10:30:00,Deido,29.43,83.07,1013.5,3
2026-03-25 10:30:00,Kotto,30.7,86.15,1012.46,3
2026-03-25 10:30:00,Logbaba,30.11,85.44,1010.5,3
2026-03-25 10:30:00,Makepe,29.51,80.21,1011.19,3
2026-03-25 10:30:00,New Bell,31.27,85.48,1010.38,3
