sensor_id,date,timestamp,quartier,temperature,humidite,pression
SENSOR_MAKEPE,2026-03-25,2026-03-25 02:54:02.543000,Makepe,29.27,81.8,1011.9
SENSOR_NEWBELL,2026-03-25,2026-03-25 02:54:03.785000,New Bell,30.66,81.66,1011.34
SENSOR_LOGBABA,2026-03-25,2026-03-25 02:54:04.694000,Logbaba,28.15,82.05,1009.52
SENSOR_BEPANDA,2026-03-25,2026-03-25 02:54:05.197000,Bepanda,27.68,78.18,1009.83
SENSOR_LOGBABA,2026-03-25,2026-03-25 02:54:05.675000,Logbaba,29.15,84.88,1013.28
SENSOR_AKWA,2026-03-25,2026-03-25 02:54:06.297000,Akwa,25.62,79.21,1012.67
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:06.467000,Bonapriso,27.2,73.67,1010.27
SENSOR_BEPANDA,2026-03-25,2026-03-25 02:54:06.796000,Bepanda,27.46,86.22,1014.07
SENSOR_BONANJO,2026-03-25,2026-03-25 02:54:07.125000,Bonanjo,27.61,75.73,1008.03
SENSOR_BEPANDA,2026-03-25,2026-03-25 02:54:07.247000,Bepanda,28.49,84.56,1013.07
SENSOR_NEWBELL,2026-03-25,2026-03-25 02:54:07.491000,New Bell,29.47,85.65,1008.39
SENSOR_BEPANDA,2026-03-25,2026-03-25 02:54:07.616000,Bepanda,27.84,77.9,1011.54
SENSOR_BEPANDA,2026-03-25,2026-03-25 02:54:07.757000,Bepanda,27.29,84.13,1014.43
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:07.891000,Bonapriso,27.18,74.73,1013.53
SENSOR_BEPANDA,2026-03-25,2026-03-25 02:54:08.037000,Bepanda,27.14,86.88,1014.1
SENSOR_MAKEPE,2026-03-25,2026-03-25 02:54:08.190000,Makepe,27.42,75.53,1013.26
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:08.342000,Bonapriso,25.97,70.32,1010.22
SENSOR_CITE_SIC,2026-03-25,2026-03-25 02:54:08.536000,Cite SIC,29.46,84.84,1012.87
SENSOR_KOTTO,2026-03-25,2026-03-25 02:54:08.710000,Kotto,30.01,80.87,1008.49
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:10.523000,Bonapriso,26.25,72.94,1012.18
SENSOR_NEWBELL,2026-03-25,2026-03-25 02:54:10.777000,New Bell,29.98,89.87,1008.48
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:10.921000,Bonapriso,24.56,71.87,1008.27
SENSOR_NEWBELL,2026-03-25,2026-03-25 02:54:11.102000,New Bell,28.04,89.73,1009.75
SENSOR_AKWA,2026-03-25,2026-03-25 02:54:11.248000,Akwa,27.63,73.63,1009.32
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:11.421000,Bonapriso,25.61,76.28,1014.57
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:11.675000,Bonapriso,26.77,71.53,1010.99
SENSOR_NEWBELL,2026-03-25,2026-03-25 02:54:11.803000,New Bell,29.43,80.38,1013.07
SENSOR_MAKEPE,2026-03-25,2026-03-25 02:54:11.945000,Makepe,26.64,81.74,1009.93
SENSOR_NEWBELL,2026-03-25,2026-03-25 02:54:12.104000,New Bell,28.04,80.26,1011.64
SENSOR_BONAPRISO,2026-03-25,2026-03-25 02:54:12.259000,Bonapriso,25.61,75.98,1013.11
