sensor_id,quartier,nb_mesures,temp_min,temp_max,temp_moy,hum_min,hum_max,hum_moy,pres_min,pres_max,pres_moy
SENSOR_AKWA,Akwa,4734,24.02,35.0,27.76,60.03,94.99,78.71,1008.0,1015.0,1012.1
SENSOR_BONANJO,Bonanjo,4722,24.03,34.97,27.23,60.02,94.89,76.01,1008.0,1015.0,1012.05
SENSOR_DEIDO,Deido,4788,24.01,34.98,28.42,60.03,94.84,80.36,1008.0,1015.0,1012.12
SENSOR_BEPANDA,Bepanda,4797,24.01,34.99,29.13,60.01,94.97,82.11,1008.0,1015.0,1012.05
SENSOR_MAKEPE,Makepe,4733,24.0,34.99,28.62,60.06,95.0,79.47,1008.0,1015.0,1012.06
SENSOR_NEWBELL,New Bell,4793,24.04,34.97,29.9,60.05,94.93,84.67,1008.01,1015.0,1012.09
SENSOR_BONAPRISO,Bonapriso,4790,24.01,34.97,26.91,60.09,94.95,74.42,1008.0,1015.0,1012.06
SENSOR_LOGBABA,Logbaba,4837,24.04,34.97,29.46,60.02,94.99,82.95,1008.02,1015.0,1012.08
SENSOR_CITE_SIC,Cite SIC,4806,24.0,34.99,28.9,60.05,95.0,81.29,1008.0,1015.0,1012.03
SENSOR_KOTTO,Kotto,4768,24.0,34.99,29.21,60.02,94.99,83.6,1008.01,1015.0,1012.04
